id,name,team,type
"0","Panini Logo","We Are Panini","logo"
"FWC1","Official Emblem1","FIFA World Cup 2026","fwc_special"
"FWC2","Official Emblem2","FIFA World Cup 2026","fwc_special"
"FWC3","Official Mascots","FIFA World Cup 2026","fwc_special"
"FWC4","Official Slogan","FIFA World Cup 2026","fwc_special"
"FWC5","Official Ball","FIFA World Cup 2026","fwc_special"
"FWC6","Canada","Host Countries and Cities","fwc_special"
"FWC7","Mexico","Host Countries and Cities","fwc_special"
"FWC8","USA","Host Countries and Cities","fwc_special"
"MEX1","Emblem","Mexico","team_badge"
"MEX2","Luis Malagón","Mexico","player"
"MEX3","Johan Vasquez","Mexico","player"
"MEX4","Jorge Sánchez","Mexico","player"
"MEX5","Cesar Montes","Mexico","player"
"MEX6","Jesus Gallardo","Mexico","player"
"MEX7","Israel Reyes","Mexico","player"
"MEX8","Diego Lainez","Mexico","player"
"MEX9","Carlos Rodriguez","Mexico","player"
"MEX10","Edson Alvarez","Mexico","player"
"MEX11","Orbelin Pineda","Mexico","player"
"MEX12","Marcel Ruiz","Mexico","player"
"MEX13","Team Photo","Mexico","player"
"MEX14","Érick Sánchez","Mexico","player"
"MEX15","Hirving Lozano","Mexico","player"
"MEX16","Santiago Giménez","Mexico","player"
"MEX17","Raúl Jiménez","Mexico","player"
"MEX18","Alexis Vega","Mexico","player"
"MEX19","Roberto Alvarado","Mexico","player"
"MEX20","Cesar Huerta","Mexico","player"
"RSA1","Emblem","South Africa","team_badge"
"RSA2","Ronwen Williams","South Africa","player"
"RSA3","Sipho Chaine","South Africa","player"
"RSA4","Aubrey Modiba","South Africa","player"
"RSA5","Samukele Kabini","South Africa","player"
"RSA6","Mbekezeli Mbokazi","South Africa","player"
"RSA7","Khulumani Ndamane","South Africa","player"
"RSA8","Siyabonga Ngezana","South Africa","player"
"RSA9","Khuliso Mudau","South Africa","player"
"RSA10","Nkosinathi Sibisi","South Africa","player"
"RSA11","Teboho Mokoena","South Africa","player"
"RSA12","Thalente Mbatha","South Africa","player"
"RSA13","Team Photo","South Africa","player"
"RSA14","Bathusi Aubaas","South Africa","player"
"RSA15","Yaya Sithole","South Africa","player"
"RSA16","Sipho Mbule","South Africa","player"
"RSA17","Lyle Foster","South Africa","player"
"RSA18","Iqraam Rayners","South Africa","player"
"RSA19","Mohau Nkota","South Africa","player"
"RSA20","Oswin Appollis","South Africa","player"
"KOR1","Emblem","South Korea","team_badge"
"KOR2","Hyeon-woo Jo","South Korea","player"
"KOR3","Seung-Gyu Kim","South Korea","player"
"KOR4","Min-jae Kim","South Korea","player"
"KOR5","Yu-min Cho","South Korea","player"
"KOR6","Young-woo Seol","South Korea","player"
"KOR7","Han-beom Lee","South Korea","player"
"KOR8","Tae-seok Lee","South Korea","player"
"KOR9","Myung-jae Lee","South Korea","player"
"KOR10","Jae-sung Lee","South Korea","player"
"KOR11","In-beom Hwang","South Korea","player"
"KOR12","Kang-in Lee","South Korea","player"
"KOR13","Team Photo","South Korea","player"
"KOR14","Seung-ho Paik","South Korea","player"
"KOR15","Jens Castrop","South Korea","player"
"KOR16","Dongg-yeong Lee","South Korea","player"
"KOR17","Gue-sung Cho","South Korea","player"
"KOR18","Heung-min Son","South Korea","player"
"KOR19","Hee-chan Hwang","South Korea","player"
"KOR20","Hyeon-Gyu Oh","South Korea","player"
"CZE1","Emblem","Czechia","team_badge"
"CZE2","Matej Kovar","Czechia","player"
"CZE3","Jindrich Stanek","Czechia","player"
"CZE4","Ladislav Krejci","Czechia","player"
"CZE5","Vladimir Coufal","Czechia","player"
"CZE6","Jaroslav Zeleny","Czechia","player"
"CZE7","Tomas Holes","Czechia","player"
"CZE8","David Zima","Czechia","player"
"CZE9","Michal Sadilek","Czechia","player"
"CZE10","Lukas Provod","Czechia","player"
"CZE11","Lukas Cerv","Czechia","player"
"CZE12","Tomas Soucek","Czechia","player"
"CZE13","Team Photo","Czechia","player"
"CZE14","Pavel Sulc","Czechia","player"
"CZE15","Matej Vydra","Czechia","player"
"CZE16","Vasil Kusej","Czechia","player"
"CZE17","Tomas Chory","Czechia","player"
"CZE18","Vaclav Cerny","Czechia","player"
"CZE19","Adam Hlozek","Czechia","player"
"CZE20","Patrik Schick","Czechia","player"
"CAN1","Emblem","Canada","team_badge"
"CAN2","Dayne St.Clair","Canada","player"
"CAN3","Alphonso Davies","Canada","player"
"CAN4","Alistair Johnston","Canada","player"
"CAN5","Samuel Adekugbe","Canada","player"
"CAN6","Richie Laryea","Canada","player"
"CAN7","Derek Cornelius","Canada","player"
"CAN8","Moïse Bombito","Canada","player"
"CAN9","Kamal Miller","Canada","player"
"CAN10","Stephen Eustáquio","Canada","player"
"CAN11","Ismaël Koné","Canada","player"
"CAN12","Jonathan Osorio","Canada","player"
"CAN13","Team Photo","Canada","player"
